
2024/10/30 (18:26:17) | ===> btop++ v.1.3.2
2024/10/30 (18:26:17) | INFO: Logger set to INFO
2024/10/30 (18:26:18) | INFO: Logger set to DEBUG
2024/10/30 (18:26:23) | INFO: Logger set to DEBUG
2024/10/30 (18:26:23) | INFO: Logger set to INFO
2024/10/30 (18:26:24) | INFO: Logger set to DEBUG
2024/10/30 (18:26:27) | DEBUG: Loading theme file: /usr/share/btop/themes/HotPurpleTrafficLight.theme
2024/10/30 (18:26:28) | DEBUG: Loading theme file: /usr/share/btop/themes/HotPurpleTrafficLight.theme
2024/10/30 (18:26:30) | DEBUG: Loading theme file: /usr/share/btop/themes/HotPurpleTrafficLight.theme
2024/10/30 (18:26:31) | DEBUG: Loading theme file: /usr/share/btop/themes/HotPurpleTrafficLight.theme
2024/10/30 (18:26:31) | DEBUG: Loading theme file: /usr/share/btop/themes/HotPurpleTrafficLight.theme
2024/10/30 (18:26:32) | DEBUG: Loading theme file: /usr/share/btop/themes/HotPurpleTrafficLight.theme
2024/10/30 (18:26:33) | DEBUG: Loading theme file: /usr/share/btop/themes/HotPurpleTrafficLight.theme
2024/10/30 (18:26:35) | DEBUG: Loading theme file: /usr/share/btop/themes/HotPurpleTrafficLight.theme
2024/10/30 (18:26:39) | DEBUG: Loading theme file: /usr/share/btop/themes/HotPurpleTrafficLight.theme

2025/04/15 (02:18:14) | ===> btop++ v.1.4.0
2025/04/15 (02:18:14) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/06 (03:30:20) | ===> btop++ v.1.4.0
2025/05/06 (03:30:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/06 (04:02:55) | ===> btop++ v.1.4.0
2025/05/06 (04:02:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/07 (02:54:17) | ===> btop++ v.1.4.0
2025/05/07 (02:54:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/05/23 (17:15:26) | ===> btop++ v.1.4.0
2025/05/23 (17:15:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/06/04 (19:08:39) | ===> btop++ v.1.4.0
2025/06/04 (19:08:39) | WARNING: Intel GPU: Failed to initialize PMU

2025/06/04 (19:24:11) | ===> btop++ v.1.4.0
2025/06/04 (19:24:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/06/04 (23:00:34) | ===> btop++ v.1.4.0
2025/06/04 (23:00:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/06/06 (01:27:11) | ===> btop++ v.1.4.0
2025/06/06 (01:27:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/06/06 (01:35:52) | ===> btop++ v.1.4.0
2025/06/06 (01:35:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/06/14 (15:33:40) | ===> btop++ v.1.4.0
2025/06/14 (15:33:40) | WARNING: Intel GPU: Failed to initialize PMU

2025/06/14 (16:00:19) | ===> btop++ v.1.4.0
2025/06/14 (16:00:19) | WARNING: Intel GPU: Failed to initialize PMU
2025/06/14 (16:00:35) | ERROR: Exception during Config::unlock() : unordered_map::at

2025/06/14 (16:01:26) | ===> btop++ v.1.4.0
2025/06/14 (16:01:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/06/14 (16:44:44) | ===> btop++ v.1.4.0
2025/06/14 (16:44:44) | WARNING: Intel GPU: Failed to initialize PMU

2025/06/14 (19:30:16) | ===> btop++ v.1.4.0
2025/06/14 (19:30:16) | WARNING: Intel GPU: Failed to initialize PMU

2025/06/17 (12:19:17) | ===> btop++ v.1.4.0
2025/06/17 (12:19:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/06/27 (23:27:10) | ===> btop++ v.1.4.0
2025/06/27 (23:27:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/06/30 (15:59:35) | ===> btop++ v.1.4.0
2025/06/30 (15:59:35) | WARNING: Intel GPU: Failed to initialize PMU

2025/07/10 (17:51:58) | ===> btop++ v.1.4.0
2025/07/10 (17:51:58) | WARNING: Intel GPU: Failed to initialize PMU

2025/07/10 (17:55:01) | ===> btop++ v.1.4.0
2025/07/10 (17:55:01) | WARNING: Intel GPU: Failed to initialize PMU

2025/07/12 (18:23:46) | ===> btop++ v.1.4.0
2025/07/12 (18:23:46) | WARNING: Intel GPU: Failed to initialize PMU

2025/07/13 (16:47:08) | ===> btop++ v.1.4.0
2025/07/13 (16:47:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/07/15 (02:25:55) | ===> btop++ v.1.4.0
2025/07/15 (02:25:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/07/22 (06:32:29) | ===> btop++ v.1.4.0
2025/07/22 (06:32:29) | WARNING: Intel GPU: Failed to initialize PMU
